GSI,ALIGN,ATTRACT,AVOID,COLLISION
0.961197458,"
","
","1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
","
"
0.937858814,,,,
0.91441964,,,,
0.890895378,,,,
0.867309018,,,,
0.843686468,,,,
0.820056425,,,,
0.796451507,,,,
0.772887416,,,,
0.749451638,,,,
0.726208964,,,,
0.703350441,,,,
0.680451874,,,,
0.65718673,,,,
0.633804008,,,,
0.610325239,,,,
0.587933886,,,,
0.565394234,,,,
0.542710164,,,,
0.520607768,,,,
0.498438203,,,,
0.476211416,,,,
0.453933746,,,,
0.431609673,,,,
0.409242917,,,,
0.38683712,,,,
0.364396213,,,,
0.341924591,,,,
0.319427124,,,,
0.296900614,,,,
0.274283557,,,,
0.251655715,,,,
0.229092798,,,,
0.20656274,,,,
0.184021656,,,,
0.161529763,,,,
0.139039845,,,,
0.116548275,,,,
0.094048913,,,,
0.07153321,,,,
0.049186465,,,,
0.026786018,,,,
0.00428734,,,,
-0.01815376,,,,
-0.038516139,,,,
-0.058069069,,,,
-0.077674465,,,,
-0.09691028,,,,
-0.114397163,,,,
-0.131540764,,,,
-0.148636432,,,,
-0.165301321,,,,
-0.181811692,,,,
-0.198252838,,,,
-0.214026747,,,,
-0.228662761,,,,
-0.243171077,,,,
-0.257478497,,,,
-0.271633054,,,,
-0.285531243,,,,
-0.299119687,,,,
-0.312360166,,,,
-0.325250983,,,,
-0.337814239,,,,
-0.350020815,,,,
-0.362013621,,,,
-0.373452398,,,,
-0.383834815,,,,
-0.393271546,,,,
-0.402344468,,,,
-0.411374398,,,,
-0.420373514,,,,
-0.427451374,,,,
-0.433341131,,,,
-0.436422222,,,,
-0.438690096,,,,
-0.43888407,,,,
-0.435622091,,,,
-0.427891765,,,,
-0.422938195,,,,
-0.419161558,,,,
-0.408370303,,,,
-0.396701457,,,,
-0.38644467,,,,
-0.364065179,,,,
-0.343762408,,,,
-0.335256164,,,,
-0.325583514,,,,
-0.316473089,,,,
-0.311280834,,,,
-0.309551856,,,,
-0.307861714,,,,
-0.304577894,,,,
-0.298799798,,,,
-0.285414632,,,,
-0.263641591,,,,
-0.247039225,,,,
-0.237007734,,,,
-0.22252931,,,,
-0.205569635,,,,
-0.191758312,,,,
-0.182009019,,,,
-0.172332571,,,,
-0.161876379,,,,
-0.148634381,,,,
-0.131087418,,,,
-0.11055221,,,,
-0.09052879,,,,
-0.071163358,,,,
-0.052483053,,,,
-0.038761764,,,,
-0.027777136,,,,
-0.018291342,,,,
-0.003495584,,,,
0.02146947,,,,
0.038902968,,,,
0.060011012,,,,
0.081644755,,,,
0.107726808,,,,
0.127255703,,,,
0.141874744,,,,
0.153934208,,,,
0.167377915,,,,
0.179796142,,,,
0.193277966,,,,
0.206441401,,,,
0.221369561,,,,
0.237224085,,,,
0.254157196,,,,
0.271580376,,,,
0.293465884,,,,
0.309741563,,,,
0.322163239,,,,
0.332044,,,,
0.347602951,,,,
0.372916211,,,,
0.403305606,,,,
0.422146248,,,,
0.422108684,,,,
0.418385639,,,,
0.415070855,,,,
0.411365813,,,,
0.40771517,,,,
0.404852775,,,,
0.404494304,,,,
0.410798472,,,,
0.416251367,,,,
0.423593921,,,,
0.435499401,,,,
0.436301014,,,,
0.43591557,,,,
0.434187612,,,,
0.432550269,,,,
0.432062009,,,,
0.428629348,,,,
0.425647141,,,,
0.4267184,,,,
0.42979428,,,,
0.428449134,,,,
0.435526837,,,,
0.433576979,,,,
0.435065465,,,,
0.439998839,,,,
0.452170289,,,,
0.459264868,,,,
0.460152095,,,,
0.463575625,,,,
0.468095833,,,,
0.47171481,,,,
0.468312526,,,,
0.467872464,,,,
0.469162978,,,,
0.474313459,,,,
0.492138869,,,,
0.532764506,,,,
0.564060855,,,,
0.589704964,,,,
0.618163074,,,,
0.640801678,,,,
0.680984757,,,,
0.713523853,,,,
0.733339428,,,,
0.755405233,,,,
0.776878964,,,,
0.790874782,,,,
0.799147122,,,,
0.807099659,,,,
0.81504808,,,,
0.825569266,,,,
0.853354299,,,,
0.877206031,,,,
0.893144291,,,,
0.900743209,,,,
0.911089183,,,,
0.928130012,,,,
0.943336104,,,,
0.957647964,,,,
0.967905951,,,,
0.978796759,,,,
0.99108986,,,,
0.994618974,,,,
0.988051695,,,,
0.990626901,,,,
0.999633174,,,,
0.987861667,,,,
0.980587008,,,,
0.968104503,,,,
0.955406479,,,,
0.939072661,,,,
0.923747778,,,,
0.90581769,,,,
0.884619021,,,,
0.872435065,,,,
0.849311378,,,,
0.839659979,,,,
